movie_id,director_id,producer_id,box_office_value,cast_id_0,cast_id_1,cast_id_2,cast_id_3,cast_id_4
Q1000394,Q1985392,Q179200,,Q40475,Q461370,Q922580,Q15069875,Q2831060
Q1000174,Q1379822,,,Q108233,Q95951,Q1578075,Q2061747,Q1442953
Q1000825,Q360509,Q716064,,Q2370079,Q1041384,Q4272908,Q13016199,Q16305292
Q1001102,Q3199956,,,Q1269500,Q603685,Q1658517,Q1253847,Q12628320
Q1000826,Q450601,Q3559718,,Q298818,Q313040,Q945099,Q3751926,Q465643
Q1001759,Q711914,Q159577,16060576.0,Q5099503,Q3027452,Q4912343,Q999296,Q699415
Q1001863,Q377755,Q7106083,,Q1703481,Q2422720,Q6983286,Q3611362,Q6502021
Q1001777,Q3520413,,,Q381477,Q1749508,Q270691,Q7228866,
Q1001996,Q465350,Q465350,,,,,,
Q1001943,Q55163,Q296796,,Q41871,Q316641,Q281404,Q191132,Q537322
Q1002142,Q362353,Q16202041,,Q184103,Q190998,Q296287,Q362353,Q178552
Q1002100,Q51566,Q51566,,Q648897,Q786003,Q302335,Q288680,Q555241
Q1002495,Q3142408,,,Q37349,Q3192255,Q17293,,
Q1002251,Q51582,,8100000.0,Q228645,Q41449,Q313755,Q233237,Q918510
Q1003106,Q470104,Q5955907,,Q558981,Q254166,Q1372732,Q701940,Q701585
Q1003128,Q311219,Q676051,21606063.0,Q319364,Q6297491,Q533745,Q724165,Q460297
Q1002480,Q5525929,,,Q213574,Q207197,Q465442,Q451917,Q924039
Q1003197,Q1413060,,,Q681522,,,,
Q1003782,Q5258636,Q3528264,,Q311219,Q667260,Q710715,Q718083,Q1059801
Q1003845,Q267524,Q267524,,Q200768,Q200841,Q463397,Q229394,Q720530
Q1004318,Q11523412,Q6782345,,,,,,
Q10041645,Q15137171,,,Q8250087,Q700175,Q10855496,Q8991712,
Q1004363,Q97959720,Q7358662,,Q185165,Q5983120,Q3978281,Q2783955,
Q1004385,Q310960,Q269214,,,,,,
Q1004433,Q1356510,Q731692,,Q382420,Q132952,Q95043,Q432979,Q1713151
Q1004392,Q202597,Q5646675,,Q16836,Q180852,Q3357465,Q373959,Q545651
Q1004440,Q721446,Q578612,,Q372947,Q185051,Q191084,Q320052,Q234204
Q1004531,Q25089,Q2157353,,Q106175,Q217573,Q495549,Q338812,Q229957
Q1004567,Q722890,Q542003,,Q123351,Q134333,Q235221,Q439415,Q2221933
Q1004657,Q714496,Q2270687,,Q152767,Q45362,Q262218,Q352540,Q264996
Q1004710,Q2475993,,,Q314485,Q235721,Q182931,Q2010690,Q233433
Q1004410,Q55432,Q55432,8545123.0,Q319001,Q16781,Q4260662,Q667260,Q7156075
Q1004801,Q1000860,Q4516947,,Q1396916,Q502070,Q4144782,Q4230993,Q4184365
Q1005361,Q17638666,,,Q3545824,Q902091,Q2250584,Q3814523,Q902782
Q1005620,Q55388,Q55388,,Q945890,Q449,Q945331,Q460823,Q2836672
Q1008351,Q51581,Q51581,,Q40531,Q215359,Q303207,Q235989,Q219521
Q1009670,Q185655,,,,,,,
Q1009708,Q52997,Q52997,,Q55245,Q447426,Q692979,Q458146,Q270049
Q1007629,Q7261235,Q4883445,,Q3764579,Q16314846,Q3519936,Q1322453,Q3764525
